UnivSize,MA_h,Threshold,Hold_h,TopN,Sharpe,Sortino,Ann_Ret,MaxDD,Total_Ret,Win_Rate,Trades
80,208,-0.2,26,10,0.6478076918942699,0.978157475507234,0.01855365198589154,-0.9994883447876193,0.14602346117891019,0.5025920510434667,7523
80,52,-0.2,26,3,0.647770550678202,0.9821471648165374,-0.08740138053093738,-0.9999320221506668,-0.49241296199606777,0.5028526680836782,8939
80,156,-0.6,26,10,0.647318074699841,0.9689526607810642,0.13061361671687988,-0.9894096914363899,1.484716780074279,0.5048939641109299,4904
80,156,-0.8,26,5,0.641498080383914,0.9256730636615988,0.22549205518122895,-0.8884498396584459,3.5158849877260465,0.5178868552412645,2404
60,156,-0.6,52,5,0.6414944405404415,1.000424776337306,0.036038822001943194,-0.9992072422084006,0.3001678374673473,0.5043417853421327,2879
80,208,-0.4,26,10,0.6402242851767802,0.9778949929841014,0.02675265783527414,-0.9984593022459083,0.2162107896121075,0.5025737014506317,6411
80,208,-0.4,26,5,0.6347286332213378,0.9651533287183528,0.015466778409838788,-0.9988161962024982,0.12052180587981343,0.5047371638141809,6544
40,208,-0.2,26,10,0.6330885071361946,1.0114055479366026,0.04070389727062862,-0.9991238916419112,0.34420482802177377,0.5002,5000
80,104,-0.6,52,10,0.6305000892046853,1.0137603261211587,-0.10972204389771978,-0.9997781699600248,-0.5775474817725792,0.5111746361746362,3848
20,52,-0.4,26,5,0.6283116298479959,0.9559071151437166,0.16161277378829575,-0.9883439138353909,2.0364879825144317,0.5139613378336914,3259
80,208,-0.8,52,3,0.6280307966415082,0.9835604960622546,0.15464853316808624,-0.992499842546156,1.904083628716807,0.5128205128205128,1794
40,52,-0.2,26,5,0.6198738120049362,0.9074921034000378,-0.08268243378410012,-0.9991984089740528,-0.47262761437733836,0.49611856033874385,5668
80,208,-0.2,26,5,0.6099212800798174,0.9078966254451218,-0.04026394734233063,-0.9997316443072972,-0.2626533155483395,0.5030049647243271,7654
60,104,-0.8,52,10,0.6058174052188837,0.9794605934902694,0.11490626688448424,-0.9811757836824117,1.2399065343032318,0.5111583421891605,1882
80,156,-0.6,26,5,0.6051629075383036,0.905537551933687,0.07584153622808842,-0.9885538856715096,0.7194324747505099,0.5059904153354633,5008
60,156,-0.2,26,10,0.6025194937830367,0.8687257245714448,-0.08113496643293516,-0.9990875687035282,-0.46599586677323157,0.5041040730989623,6457
40,208,-0.2,26,5,0.5947339978070526,0.9492102622858029,-0.009846333130160256,-0.9991749382761562,-0.07073699434705683,0.5,5010
