ma_window,bubble_threshold,mom_lookback,hold_hours,top_n,total_return,annual_return,sharpe,max_drawdown,win_rate,n_trades
500,-0.5,26,4,5,-0.43093994507085764,-0.13641620410869182,-3.652166808442572,-0.4350541120353839,2.9494878134934654,466
500,-0.5,13,13,10,-0.1453844348328951,-0.040046486811204374,-3.654793269574499,-0.14702471761249625,0.8902651441842461,157
500,-0.5,26,13,10,-0.14743392324687188,-0.04064591012550245,-3.6754864957027653,-0.15000431634799272,0.8128507838203988,157
500,-0.3,13,26,10,-0.0982288917517875,-0.026539517637656607,-3.686463611165911,-0.09940419544038404,0.67238581034083,109
500,-0.3,6,8,5,-0.30068593967266455,-0.08884648508168091,-3.7030958541302708,-0.3022488478281712,2.266583489290913,321
500,-0.3,13,13,10,-0.16749848142775592,-0.046571344242217316,-3.7035371471883325,-0.17032173817298069,1.2817727568976753,204
500,-0.3,6,4,10,-0.448852403757374,-0.14357179946186738,-3.7129544844853943,-0.45326288601390785,4.1490587783326935,618
500,-0.5,6,8,10,-0.250380855343179,-0.0722310073953133,-3.7174698187827437,-0.25409227039685034,1.2902019446522064,244
500,-0.5,26,8,10,-0.23742877543072416,-0.06808715080976191,-3.721789628775495,-0.24369199099166972,1.2902019446522064,244
1000,-0.3,26,4,5,-0.4340052968032212,-0.1376288027265623,-3.7783773310653617,-0.43401285089255326,4.241219350563287,511
1000,-0.3,26,8,5,-0.2506899141704976,-0.07233053182574234,-3.8239861018873973,-0.2506899141704976,2.231718898385565,264
1000,-0.3,26,26,5,-0.08674406962558645,-0.023329307069266725,-3.8290334435521007,-0.08674406962558645,0.4421326397919376,88
500,-0.3,13,4,10,-0.4467126964101912,-0.1427080699120744,-3.856133275881389,-0.45166205875308263,4.072224356511717,618
500,-0.5,13,8,10,-0.2431918513315683,-0.06992449335879847,-3.8683536803208836,-0.24334287908866659,1.3836948391922212,244
252,-0.3,6,4,10,-0.48322072466446764,-0.15779766470007406,-3.8698612181999548,-0.5016849188577239,4.706976744186046,727
500,-0.5,6,4,10,-0.44795837158740903,-0.14321060684344256,-3.8965277214780962,-0.4548667114648599,2.719886965736489,466
500,-0.3,6,13,10,-0.179616862047152,-0.050201481468484466,-3.900640642014604,-0.1819294220819191,1.2817727568976753,204
252,-0.3,26,4,10,-0.4686609865711123,-0.15168808600971084,-3.9084606622054965,-0.4837117766162079,5.097674418604651,727
1000,-0.3,26,8,10,-0.23416753261702783,-0.06705197235057281,-3.914788454385314,-0.23416753261702783,2.1367521367521367,264
500,-0.3,6,26,10,-0.09822887588678775,-0.0265395131822721,-3.91975219485953,-0.09822887588678775,0.5564572223510317,109
500,-0.3,26,26,10,-0.10470676943593527,-0.028363561318405672,-3.9377316567622196,-0.10475177220971432,0.48690006955715276,109
500,-0.3,6,8,10,-0.27868976576246485,-0.08147596824377423,-3.945240266791277,-0.2853722450332289,2.245789145352464,321
1000,-0.3,26,13,10,-0.15679217058268846,-0.04339658759422593,-3.989546041444302,-0.15679217058268846,1.1102886750555145,167
1000,-0.3,26,26,10,-0.0802108542225255,-0.021516466193669426,-3.9928243913441923,-0.08044797438112794,0.3901170351105332,88
500,-0.3,26,13,10,-0.1801612671824192,-0.050365490110181876,-4.00453041399911,-0.1801612671824192,1.2383228329350424,204
252,-0.3,26,13,10,-0.1899405801686711,-0.053325444202100836,-4.025021942994263,-0.1980354840551405,1.561469100505828,250
500,-0.3,26,4,5,-0.5044226980311101,-0.16692641752433124,-4.068093062336269,-0.5049049835666937,4.283519016519401,618
252,-0.3,6,13,10,-0.20350791295949955,-0.05747603733397244,-4.080400959270506,-0.2112379507000436,1.5394765779634925,250
252,-0.3,6,8,10,-0.322400971040515,-0.0962930138293232,-4.1032854292548535,-0.335853646805251,2.618556701030928,386
1000,-0.3,26,4,10,-0.4188513104610069,-0.13168074392640494,-4.1294035269834675,-0.4188513104610069,4.108681245858184,511
500,-0.5,26,4,10,-0.44087685522199505,-0.14036482818188223,-4.129573569169782,-0.44790017654203884,2.7375485694101025,466
252,-0.3,13,8,10,-0.2883885480047662,-0.08470506095673724,-4.17278192954264,-0.2996968687288717,2.7422680412371134,386
500,-0.3,13,8,10,-0.27928997477114204,-0.08167486503801602,-4.262353996965885,-0.2812501493735018,2.1210230817217717,321
252,-0.3,13,13,10,-0.20025208458412858,-0.056475254387267304,-4.266538202585634,-0.20393568196171807,1.6714317132175063,250
252,-0.3,6,26,10,-0.12428551240791597,-0.033936579651200005,-4.27442789351973,-0.12682385272521768,0.7213272421255109,135
252,-0.3,26,8,10,-0.3033245935065618,-0.08974212187234565,-4.363070293613905,-0.3117452803195998,2.618556701030928,386
500,-0.3,26,8,10,-0.28078184710621057,-0.08216977194758013,-4.398545094880291,-0.28361615592482037,2.1210230817217717,321
