ma_window,z_window,buy_threshold,short_threshold,hold_hours,top_n,Sharpe,Sortino,Total_Return,Max_DD,n_trades,Win_Rate
50,200,0.6,0.92,8,20,-0.7421578735843988,-0.6766112873481471,-0.2389424177372238,-0.2795234599050289,402,0.4900497512437811
50,200,0.6,0.85,8,20,-0.7594613455184185,-0.9242072130425885,-0.14386278860176993,-0.16050305988542335,402,0.472636815920398
50,200,0.8,0.92,4,10,-0.7642842506374343,-1.0099912990993087,-0.28002547721198867,-0.324364081902623,783,0.4495530012771392
100,200,0.9,0.97,8,20,-0.7756092862992138,-0.8256316216163608,-0.34739276578573053,-0.34739276578573053,340,0.49117647058823527
100,200,0.9,0.97,8,10,-0.7781980572597169,-0.8261234609148169,-0.3499580623505292,-0.3499580623505292,340,0.49117647058823527
100,200,0.6,0.92,8,10,-0.7836743070188934,-0.9668403080887278,-0.19762104156962268,-0.23631907535807173,396,0.49242424242424243
100,200,0.5,0.85,8,10,-0.7844493985735485,-0.9721670528359393,-0.13291337029569927,-0.16596329300449397,396,0.4797979797979798
50,200,0.7,0.95,4,20,-0.7854943788723197,-1.0881066668854675,-0.28571104502678213,-0.34356535439996627,798,0.4699248120300752
50,200,0.7,0.85,8,10,-0.7941271542770594,-0.9976539241053884,-0.15328364541818218,-0.17099669836701992,402,0.46766169154228854
100,100,0.9,0.9,8,20,-0.7978639489677704,-1.011383803580552,-0.32205507705050385,-0.3524124227355123,372,0.4274193548387097
50,200,0.7,0.97,4,20,-0.8004551351332515,-1.1438368715272254,-0.30446404924353565,-0.3599813900521165,798,0.47619047619047616
100,200,0.8,0.9,4,20,-0.8028961307079606,-1.1987626881484876,-0.22101381538592613,-0.2330221323427677,782,0.4398976982097187
100,200,0.6,0.85,8,10,-0.8231562318758876,-1.022530662077778,-0.13901139298973075,-0.1690507915255709,396,0.4722222222222222
50,200,0.8,0.95,8,10,-0.8247070780297396,-0.9469865245318971,-0.3376240704695871,-0.40948256954566753,389,0.48586118251928023
100,100,0.5,0.97,4,10,-0.8270091749932902,-0.9980531060422219,-0.2706430852921138,-0.3190341026002136,819,0.4627594627594628
50,200,0.7,0.92,4,20,-0.8300191339949027,-1.175906586816133,-0.2424847693923916,-0.29819585239082025,800,0.46375
100,200,0.8,0.92,8,20,-0.833781787368148,-0.8965515715036741,-0.25090656871587846,-0.2628013860106384,389,0.48586118251928023
100,200,0.7,0.85,8,10,-0.8359263228117145,-1.0249953038127444,-0.14779083755456002,-0.172372824845774,396,0.4722222222222222
100,200,0.7,0.92,8,10,-0.8420216440524282,-1.0284487774684032,-0.22191744140643077,-0.24727901454000012,396,0.48484848484848486
50,200,0.7,0.9,4,20,-0.8503153933887467,-1.1818018279636926,-0.2334045659721269,-0.2754983460143273,802,0.4551122194513716
100,200,0.6,0.95,8,10,-0.8541718095669675,-1.057481144871032,-0.2596551110031352,-0.30082695350747735,396,0.4696969696969697
100,100,0.6,0.97,4,10,-0.8569698446491005,-1.0343222370696306,-0.28218766488830427,-0.3270004392917861,818,0.460880195599022
100,200,0.8,0.97,8,20,-0.8578357657469233,-0.9702952978275976,-0.3437434188634878,-0.35231273289810106,388,0.47680412371134023
100,200,0.6,0.97,8,10,-0.8582336665058613,-1.1272397109489243,-0.28383546766894396,-0.3203414886550603,396,0.4772727272727273
50,200,0.8,0.92,8,20,-0.8648114033461338,-0.9294292994823735,-0.281106533181154,-0.3230925607647158,392,0.4897959183673469
100,200,0.9,0.85,8,10,-0.8655326142005322,-0.8325092699269406,-0.2463760008121726,-0.28660328454035244,389,0.5012853470437018
100,200,0.9,0.85,8,20,-0.8680206057510947,-0.8275610153170555,-0.24702607164022505,-0.2837390111034759,389,0.5038560411311054
100,100,0.8,0.9,4,10,-0.8821696473974,-1.3867027995516767,-0.24566617140410507,-0.2669484961867489,805,0.4496894409937888
50,200,0.8,0.9,8,10,-0.8873779133240968,-0.9421076915651657,-0.27203888170928725,-0.2932376245312712,395,0.4860759493670886
100,100,0.7,0.9,4,10,-0.893151183270612,-1.3318848520742936,-0.2312409745395294,-0.24908130134928186,813,0.44157441574415746
100,200,0.7,0.95,8,10,-0.9108028911464042,-1.1328664563194917,-0.2866694666748646,-0.3149210139911539,396,0.45454545454545453
100,200,0.8,0.85,8,20,-0.9113418217592957,-1.0037318578505352,-0.17022877786527335,-0.1927339436347949,395,0.4911392405063291
100,200,0.7,0.97,8,10,-0.9117231404212606,-1.1967588678241732,-0.310206849706944,-0.32896167833917567,396,0.4696969696969697
100,100,0.5,0.95,4,10,-0.916563354752034,-1.1154039632541872,-0.27928494482944777,-0.31402335290965333,819,0.4603174603174603
100,200,0.8,0.92,8,10,-0.9300522431538292,-1.011468431136759,-0.2729728537813222,-0.2874379105782763,389,0.493573264781491
100,200,0.8,0.9,4,10,-0.9428990996169986,-1.399831892657229,-0.2519524147799367,-0.26455661437945577,782,0.4437340153452685
100,100,0.6,0.95,4,10,-0.944512588407304,-1.1485009817244027,-0.2901182932076152,-0.3243345347614853,818,0.45843520782396086
50,200,0.7,0.97,4,10,-0.9701243563683226,-1.403167368280601,-0.35613273957088143,-0.38974994165228927,798,0.45363408521303256
50,100,0.6,0.95,4,20,-0.9825977261247248,-1.2235437140685759,-0.3240713313893674,-0.3603676517407116,825,0.46424242424242423
100,200,0.8,0.97,8,10,-1.0241852774213438,-1.1801724683756387,-0.3923749727786824,-0.39813687160554123,388,0.4845360824742268
50,200,0.7,0.95,4,10,-1.024265404027639,-1.4423196835026892,-0.35117902459626216,-0.3894870046359621,798,0.4523809523809524
100,100,0.8,0.92,4,20,-1.0253128576947712,-1.5519218782804494,-0.2871907414871716,-0.3319556393055979,802,0.46633416458852867
100,200,0.6,0.9,4,20,-1.0289463225905056,-1.447212003413049,-0.22710007484605665,-0.23933849944342078,794,0.4269521410579345
50,100,0.6,0.97,4,20,-1.0311495845712435,-1.3178738386270128,-0.34654855037621013,-0.37713868703006437,825,0.463030303030303
100,200,0.8,0.85,8,10,-1.031422691579145,-1.1724925204047199,-0.18839918579906345,-0.22207750255852443,395,0.4810126582278481
100,200,0.8,0.95,8,20,-1.0324756994684774,-1.096657768622229,-0.3670380663389764,-0.3782596508940511,388,0.47164948453608246
